Time,Mag,Log10_SSD,CF1_V,CF2_V,DC,Datetime,Label_Phase4
737253.45,1.57,3.8735864,3.7824305,3.9488888,0.66835619,2018-07-12 10:47:59.999995973,0
737261.8,1.53,3.8432363,3.7520804,3.9185387,0.6714421,2018-07-20 19:12:00.000004026,0
737281.84,1.63,3.7870436,3.6958877,3.862346,0.67024398,2018-08-09 20:09:35.999997183,0
737288.59,1.84,3.7712279,3.6800719,3.8465303,0.67352726,2018-08-16 14:09:35.999997183,0
737293.04,2.16,3.7626191,3.6714632,3.8379215,0.67413256,2018-08-21 00:57:36.000003222,0
737294.02,1.57,3.7624798,3.6713239,3.8377822,0.67496918,2018-08-22 00:28:48.000001607,0
737294.08,1.84,3.7618709,3.670715,3.8371733,0.67381334,2018-08-22 01:55:11.999996379,0
737294.54,1.63,3.7667825,3.6756266,3.8420849,0.67295204,2018-08-22 12:57:36.000003222,0
737295.27,1.94,3.7681152,3.6769593,3.8434176,0.67321105,2018-08-23 06:28:48.000001607,0
737296.13,1.84,3.7689133,3.6777574,3.8442157,0.67274142,2018-08-24 03:07:12.000000406,0
737296.62,2.09,3.7750368,3.6838809,3.8503392,0.6703211,2018-08-24 14:52:47.999999593,0
737298.95,1.63,3.7606271,3.6694712,3.8359295,0.66832966,2018-08-26 22:47:59.999995973,0
737299.49,1.57,3.7523224,3.6611665,3.8276248,0.66398307,2018-08-27 11:45:35.999999196,0
737301.78,2.05,3.7486364,3.6574805,3.8239388,0.66211399,2018-08-29 18:43:12.000002410,0
737306.23,1.63,3.7340216,3.6428657,3.809324,0.66038782,2018-09-03 05:31:11.999998392,0
737306.75,1.63,3.7316034,3.6404474,3.8069058,0.65854888,2018-09-03 18:00:00.000000000,0
737307.5,1.63,3.7301706,3.6390146,3.805473,0.65361849,2018-09-04 12:00:00.000000000,0
737307.89,1.84,3.7403579,3.649202,3.8156603,0.65600323,2018-09-04 21:21:36.000001209,0
737309.53,2.13,3.7413109,3.650155,3.8166133,0.65873435,2018-09-06 12:43:12.000002410,0
737310.2,2.13,3.744343,3.6531871,3.8196454,0.65910575,2018-09-07 04:47:59.999995973,0
737310.66,2.09,3.7476688,3.6565129,3.8229712,0.66278994,2018-09-07 15:50:24.000002816,0
737314.62,1.94,3.7393566,3.6482007,3.814659,0.66540297,2018-09-11 14:52:47.999999593,0
737315.05,2.0,3.7415822,3.6504263,3.8168846,0.66547568,2018-09-12 01:12:00.000004026,0
737315.65,1.53,3.7456043,3.6544483,3.8209067,0.66788216,2018-09-12 15:36:00.000002013,0
737316.51,1.6,3.7434987,3.6523427,3.818801,0.66549672,2018-09-13 12:14:24.000000803,0
737316.91,1.6,3.7416847,3.6505287,3.8169871,0.66732262,2018-09-13 21:50:24.000002816,0
737317.13,1.57,3.7418578,3.6507019,3.8171602,0.66951228,2018-09-14 03:07:12.000000406,0
737317.6,1.57,3.7410036,3.6498477,3.816306,0.66805009,2018-09-14 14:23:59.999997986,0
737317.68,1.57,3.7416421,3.6504862,3.8169445,0.66590889,2018-09-14 16:19:12.000004423,0
737318.16,1.94,3.7429659,3.6518099,3.8182683,0.66034921,2018-09-15 03:50:24.000002816,0
737320.69,1.63,3.7348757,3.6437198,3.8101781,0.65498154,2018-09-17 16:33:35.999995170,0
737321.15,1.63,3.7359547,3.6447988,3.8112571,0.65421049,2018-09-18 03:36:00.000002013,0
737322.17,1.63,3.7336467,3.6424908,3.8089491,0.64820007,2018-09-19 04:04:48.000003620,0
737322.43,1.63,3.7256032,3.6344473,3.8009056,0.6441196,2018-09-19 10:19:12.000004423,0
737322.73,1.63,3.7240038,3.6328479,3.7993062,0.64216332,2018-09-19 17:31:11.999998392,0
737323.16,1.6,3.7240082,3.6328522,3.7993106,0.64109336,2018-09-20 03:50:24.000002816,0
737323.51,1.6,3.7243164,3.6331605,3.7996188,0.64288155,2018-09-20 12:14:24.000000803,0
737323.76,1.53,3.7241097,3.6329538,3.7994121,0.64668752,2018-09-20 18:14:24.000000803,0
737323.81,1.84,3.7261186,3.6349627,3.801421,0.64659224,2018-09-20 19:26:24.000004829,0
737324.01,1.57,3.7313918,3.6402359,3.8066942,0.64815087,2018-09-21 00:14:24.000000803,0
737324.7,1.53,3.7233492,3.6321933,3.7986516,0.64933087,2018-09-21 16:47:59.999995973,0
737325.03,1.6,3.723098,3.6319421,3.7984004,0.65070405,2018-09-22 00:43:12.000002410,0
737325.45,1.63,3.7197184,3.6285625,3.7950208,0.64925637,2018-09-22 10:47:59.999995973,0
737327.47,1.63,3.7146935,3.6235375,3.7899959,0.64450596,2018-09-24 11:16:47.999997589,0
737328.21,1.63,3.7117987,3.6206428,3.7871011,0.63936237,2018-09-25 05:02:23.999996777,0
